"compound"	"label"	"case"	"pos"	"head.word"	"head.pos"	"sentence"	"citat"	"text"	"cpdID"	"pos1"	"pos2"	"lemma1"	"lemma2"	"intLabel"	"cpdType"	"endoExo"	"lemma1id"	"lemma2id"	"occID1"	"occID2"	"time.slot"	"veda"	"sakha"	"group"	"register"
"grāma-kāmam"	"obj"	"Acc"	"NOUN"	"yājayet"	"VERB"	"grāmakāmaṃ yājayet //"	"MS, 2, 5, 1, 61"	"Maitrāyaṇīsaṃhitā"	5499	"NOUN"	"VERB"	"grāma"	"kāma"	"obj"	"subord"	"exo"	156948	13752	5023913	5023914	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"grāma-kāmasya"	"obl"	"Gen"	"NOUN"	"juhuyāt"	"VERB"	"dhūmāyantyāṃ grāmakāmasya juhuyāt //"	"KauṣB, 2, 2, 17"	"Kauṣītakibrāhmaṇa"	6636	"NOUN"	"VERB"	"grāma"	"kāma"	"obj"	"subord"	"exo"	156948	13752	4973323	4973324	"4-PL"	"RV"	"Śāṅkhāyana"	"B"	"prose"
"grāma-kāmasya"	"root"	"Gen"	"NOUN"			"yavāgvā grāmakāmasyauṣadhā vai manuṣyāḥ /"	"TB, 2, 1, 5, 6"	"Taittirīyabrāhmaṇa"	6873	"NOUN"	"VERB"	"grāma"	"kāma"	"obj"	"subord"	"exo"	156948	13752	5339679	5339680	"3-PO"	"Black YV"	"Taittirīya"	"B"	"prose"
"guhā-caram"	"acl"	"Nom"	"ADJ"	"padam"	"NOUN"	"āviḥ saṃnihitaṃ guhācaraṃ nāma mahat padam atraitat samarpitam /"	"MuṇḍU, 2, 2, 1"	"Muṇḍakopaniṣad"	4091	"NOUN"	"VERB"	"guhā"	"cara"	"obl"	"subord"	"exo"	125202	164440	4482448	4482449	"5-SU"	"AV"	"Śaunaka"	"U"	"prose"
"havana-śrutā"	"conj"	"Nom"	"ADJ"	"vāhasā"	"ADJ"	"indrāgnī ukthavāhasā stomebhir havanaśrutā /"	"ṚV, 6, 59, 10"	"Ṛgveda"	3507	"NOUN"	"VERB"	"havana"	"śrut"	"obj"	"subord"	"exo"	109426	218859	4580087	4580088	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"haviḥ-adaḥ"	"acl"	"Nom"	"ADJ"	"satyāsaḥ"	"ADJ"	"ye satyāso havirado haviṣpā indreṇa devaiḥ sarathaṃ dadhānāḥ /"	"ṚV, 10, 15, 10"	"Ṛgveda"	3827	"NOUN"	"VERB"	"havis"	"ad"	"obj"	"subord"	"exo"	109386	221023	4989359	4989360	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"haviḥ-peṣyai"	"iobj"	"Dat"	"ADJ"	"prayacchan"	"VERB"	"haviḥpeṣyai prayacchann āha asaṃvapantī piṃṣāṇūni kurutād iti //"	"BaudhŚS, 1, 7, 11"	"Baudhāyanaśrautasūtra"	5294	"NOUN"	"VERB"	"havis"	"peṣa"	"obj"	"subord"	"exo"	109386	150926	5043396	5043397	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"havya-vāham"	"xcomp"	"Acc"	"ADJ"	"cakṛṣe"	"VERB"	"divi mūrdhānaṃ dadhiṣe svarṣāṃ jihvām agne cakṛṣe havyavāham //"	"ṚV, 10, 8, 6"	"Ṛgveda"	3804	"NOUN"	"VERB"	"havya"	"vah"	"obj"	"subord"	"exo"	109387	219459	5111178	5111179	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"havya-vāh"	"acl"	"Nom"	"NOUN"	"eṣā"	"PRON"	"eṣā vā agner yajñiyā tanūr yāsya havyavāṭ //"	"KauṣB, 3, 3, 24"	"Kauṣītakibrāhmaṇa"	6669	"NOUN"	"VERB"	"havya"	"vāh"	"obj"	"subord"	"exo"	109387	213848	4979169	4979170	"4-PL"	"RV"	"Śāṅkhāyana"	"B"	"prose"
"havya-vāhanaḥ"	"acl"	"Nom"	"ADJ"	"bhiṣaj"	"NOUN"	"tvaṃ no agne bhiṣag bhava deveṣu havyavāhanaḥ /"	"ĀpŚS, 16, 11, 11"	"Āpastambaśrautasūtra"	6070	"NOUN"	"VERB"	"havya"	"vāhana"	"obj"	"subord"	"exo"	109387	47137	5037128	5037129	"5-SU"	"Black YV"	"Taittirīya"	"ŚS"	"prose"
"havya-vāhanīm"	"acl"	"Acc"	"ADJ"	"tvām"	"PRON"	"ye tvāṃ devi prapadyanti brāhmaṇā havyavāhanīm /"	"ṚVKh, 4, 2, 7"	"Ṛgvedakhilāni"	5435	"NOUN"	"VERB"	"havya"	"vāhana"	"obj"	"subord"	"exo"	109387	47137	4858949	4858950	"2-MA"	"RV"	"None"	"S"	"metrical"
"hiraṇya-jāḥ"	"acl"	"Nom"	"ADJ"	"śaṅkhaḥ"	"NOUN"	"sa no hiraṇyajāḥ śaṅkhaḥ kṛśanaḥ pātv aṃhasaḥ //"	"AVŚ, 4, 10, 1"	"Atharvaveda (Śaunaka)"	4309	"NOUN"	"VERB"	"hiraṇya"	"jā"	"obl"	"subord"	"exo"	110191	218758	4515306	4515307	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"hiraṇya-jāḥ"	"acl"	"Nom"	"ADJ"	"śaṅkhaḥ"	"NOUN"	"sa no hiraṇyajāḥ śaṅkha āyuṣprataraṇo maṇiḥ //"	"AVŚ, 4, 10, 4"	"Atharvaveda (Śaunaka)"	4312	"NOUN"	"VERB"	"hiraṇya"	"jā"	"obl"	"subord"	"exo"	110191	218758	4515344	4515345	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"hṛdaya-spṛśaḥ"	"acl"	"Acc"	"ADJ"	"apaḥ"	"NOUN"	"hṛdayaspṛśas tv evāpa ācāmet //"	"GobhGS, 1, 2, 29"	"Gobhilagṛhyasūtra"	296	"NOUN"	"VERB"	"hṛdaya"	"spṛś"	"obl"	"subord"	"exo"	110583	103624	5177356	5177357	"5-SU"	"SV"	"Kauthuma"	"GS"	"prose"
"hṛdaya-spṛśaḥ"	"conj"	"Nom"	"ADJ"	"vāgyataḥ"	"ADJ"	"śucau deśe āsīno dakṣiṇaṃ bāhuṃ jānvantarākṛtvā yajñopavīty ā maṇibandhanāt pāṇī prakṣālya vāgyato hṛdayaspṛśas triś catur vāpa ācāmet //"	"GautDhS, 1, 1, 37"	"Gautamadharmasūtra"	2279	"NOUN"	"VERB"	"hṛdaya"	"spṛśa"	"obj"	"subord"	"exo"	110583	103626	2744175	2744176	"5-SU"	"SV"	"None"	"DhS"	"prose"
"huta-adaḥ"	"acl"	"Nom"	"ADJ"	"devān"	"NOUN"	"āhutibhir eva devān hutādaḥ prīṇāti //"	"MS, 1, 4, 6, 20"	"Maitrāyaṇīsaṃhitā"	5470	"NOUN"	"VERB"	"hu"	"ad"	"obj"	"subord"	"exo"	157629	221023	5029084	5029085	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"huta-adaḥ"	"root"	"Nom"	"ADJ"			"dvayā vai devā yajamānasya gṛham āgacchanti somapā anye 'somapā anye hutādo 'nye 'hutādo 'nye //"	"MS, 1, 4, 6, 12"	"Maitrāyaṇīsaṃhitā"	5464	"NOUN"	"VERB"	"hu"	"ad"	"obj"	"subord"	"exo"	157629	221023	5029071	5029072	"3-PO"	"Black YV"	"Maitrāyaṇa"	"S"	"prose"
"indra-dviṣṭām"	"acl"	"Acc"	"VERB"	"tvacam"	"NOUN"	"indradviṣṭām apa dhamanti māyayā tvacam asiknīm bhūmano divas pari //"	"ṚV, 9, 73, 5"	"Ṛgveda"	3722	"NOUN"	"VERB"	"indra"	"dviṣ"	"obl"	"subord"	"exo"	63463	157774	4669515	4669516	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"indra-jāḥ"	"advcl"	"Nom"	"ADJ"	"jambhanam"	"NOUN"	"indrajāḥ somajā ātharvaṇam asi vyāghrajambhanam //"	"AVŚ, 4, 3, 7"	"Atharvaveda (Śaunaka)"	4288	"NOUN"	"VERB"	"indra"	"jā"	"obl"	"subord"	"exo"	63463	218758	4513100	4513101	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"indriya-kāmam"	"conj"	"Acc"	"NOUN"	"kāmam"	"NOUN"	"ekādaśa indriyakāmam //"	"ĀpDhS, 1, 1, 25"	"Āpastambadharmasūtra"	7441	"NOUN"	"VERB"	"indriya"	"kāma"	"obj"	"subord"	"exo"	63664	13752	5393964	5393965	"5-SU"	"Black YV"	"Taittirīya"	"DhS"	"prose"
"indriya-kāmasya"	"orphan"	"Gen"	"NOUN"	"aratnim"	"NOUN"	"ekādaśāratnim indriyakāmasyaikādaśākṣarā triṣṭub indriyaṃ triṣṭub indriyāvy eva bhavati /"	"TS, 6, 3, 3, 6"	"Taittirīyasaṃhitā"	6500	"NOUN"	"VERB"	"indriya"	"kāma"	"obj"	"subord"	"exo"	63664	13752	5234036	5234037	"3-PO"	"Black YV"	"Taittirīya"	"S"	"prose"
"indriya-kāmasya"	"root"	"Gen"	"NOUN"			"dadhnendriyakāmasya /"	"TB, 2, 1, 5, 6"	"Taittirīyabrāhmaṇa"	6872	"NOUN"	"VERB"	"indriya"	"kāma"	"obj"	"subord"	"exo"	63664	13752	5339670	5339671	"3-PO"	"Black YV"	"Taittirīya"	"B"	"prose"
"īśāna-kṛtaḥ"	"acl"	"Nom"	"ADJ"	"dhunayaḥ"	"ADJ"	"īśānakṛto dhunayo riśādaso vātān vidyutas taviṣībhir akrata /"	"ṚV, 1, 64, 5"	"Ṛgveda"	3078	"NOUN"	"VERB"	"īśāna"	"kṛt"	"obl"	"subord"	"exo"	64078	3440	4405838	4405839	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"jani-kāmaḥ"	"advcl"	"Nom"	"NOUN"	"āgamam"	"VERB"	"eyam agan patikāmā janikāmo 'ham āgamam /"	"AVŚ, 2, 30, 5"	"Atharvaveda (Śaunaka)"	4245	"NOUN"	"VERB"	"jani"	"kāma"	"obj"	"subord"	"exo"	87567	13752	4708119	4708120	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"jarāyu-jaḥ"	"acl"	"Nom"	"ADJ"	"vṛṣā"	"NOUN"	"jarāyujaḥ prathama usriyo vṛṣā vātābhrajā stanayann eti vṛṣṭyā /"	"AVŚ, 1, 12, 1"	"Atharvaveda (Śaunaka)"	4190	"NOUN"	"VERB"	"jarāyu"	"ja"	"obl"	"subord"	"exo"	87979	52879	4526638	4526639	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"jīmūta-varṣī"	"root"	"Nom"	"ADJ"			"yad avagrāham anubrūyāj jīmūtavarṣī ha prajābhyaḥ parjanyaḥ syāt tasmāt tat saṃtatam evānūcyam //"	"AB, 2, 19, 7"	"Aitareyabrāhmaṇa"	4904	"NOUN"	"VERB"	"jīmūta"	"varṣin"	"obl"	"subord"	"exo"	89153	74894	4733438	4733439	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"jīva-jam"	"conj"	"Nom"	"ADJ"	"jam"	"ADJ"	"teṣāṃ khalv eṣāṃ bhūtānāṃ trīṇy eva bījāni bhavanty āṇḍajaṃ jīvajam udbhijjam iti //"	"ChU, 6, 3, 1"	"Chāndogyopaniṣad"	1981	"NOUN"	"VERB"	"jīva"	"ja"	"obl"	"subord"	"exo"	89210	52879	3519384	3519385	"4-PL"	"SV"	"Kauthuma"	"U"	"prose"
"kakṣya-prām"	"conj"	"Acc"	"ADJ"	"dhuram"	"NOUN"	"rohitam me pākasthāmā sudhuraṃ kakṣyaprām /"	"ṚV, 8, 3, 22"	"Ṛgveda"	3651	"NOUN"	"VERB"	"kakṣya"	"prā"	"obj"	"subord"	"exo"	526	218995	4708534	4708535	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kāla-kāraḥ"	"conj"	"Nom"	"ADJ"	"jñaḥ"	"ADJ"	"yenāvṛtaṃ nityam idaṃ hi sarvaṃ jñaḥ kālakāro guṇī sarvavidyaḥ /"	"ŚvetU, 6, 2"	"Śvetāśvataropaniṣad"	2193	"NOUN"	"VERB"	"kāla"	"kāra"	"nmod"	"subord"	"exo"	22761	14100	5278766	5278767	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"kāla-kāraḥ"	"conj"	"Nom"	"ADJ"	"kṛt"	"ADJ"	"sa viśvakṛd viśvavid ātmayonir jñaḥ kālakāro guṇī sarvavidyaḥ /"	"ŚvetU, 6, 16"	"Śvetāśvataropaniṣad"	2231	"NOUN"	"VERB"	"kāla"	"kāra"	"obj"	"subord"	"exo"	22761	14100	5278788	5278789	"5-SU"	"Black YV"	"None"	"U"	"metrical"
"kāma-dughaḥ"	"acl"	"Nom"	"ADJ"	"vatsaḥ"	"NOUN"	"vatsaḥ kāmadugho virājaḥ sa guhā cakre tanvaḥ parācaiḥ //"	"AVŚ, 8, 9, 2"	"Atharvaveda (Śaunaka)"	4448	"NOUN"	"VERB"	"kāma"	"dugha"	"obj"	"subord"	"exo"	13752	85229	4951996	4951997	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"karma-kṛt"	"conj"	"Voc"	"ADJ"	"bheṣaja"	"NOUN"	"rudra jalāṣabheṣaja nīlaśikhaṇḍa karmakṛt /"	"AVŚ, 2, 27, 6"	"Atharvaveda (Śaunaka)"	4242	"NOUN"	"VERB"	"karman"	"kṛt"	"obj"	"subord"	"exo"	12243	3440	4696519	4696520	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"karma-kṛt"	"conj"	"Nom"	"ADJ"	"brahmacārī"	"NOUN"	"brahmacārī sucaritī medhāvī karmakṛd dhanadaḥ priyo vidyayā vā vidyām anvicchaṃs tāni tīrthāni brahmaṇaḥ //"	"KāṭhGS, 10, 2"	"Kāṭhakagṛhyasūtra"	1841	"NOUN"	"VERB"	"karman"	"kṛt"	"obj"	"subord"	"exo"	12243	3440	5358634	5358635	"5-SU"	"Black YV"	"Kaṭha"	"GS"	"prose"
"karma-kṛtaḥ"	"nsubj"	"Nom"	"ADJ"	"akran"	"VERB"	"akran karma karmakṛtaḥ saha vācā mayobhuvā /"	"VSM, 3, 47"	"Vājasaneyisaṃhitā (Mādhyandina)"	6721	"NOUN"	"VERB"	"karman"	"kṛt"	"obj"	"subord"	"exo"	12243	3440	5015795	5015796	"2-MA"	"White YV"	"Mādhyandina"	"S"	"metrical"
"keśa-vardhanīḥ"	"conj"	"Nom"	"ADJ"	"dṛṃhaṇīḥ"	"ADJ"	"uta stha keśadṛṃhaṇīr atho ha keśavardhanīḥ //"	"AVŚ, 6, 21, 3"	"Atharvaveda (Śaunaka)"	4406	"NOUN"	"VERB"	"keśa"	"vardhana"	"obj"	"subord"	"exo"	4545	74683	4692523	4692524	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"khaja-kṛt"	"vocative"	"Voc"	"ADJ"	"alarṣi"	"VERB"	"alarṣi yudhma khajakṛt purandara pra gāyatrā agāsiṣuḥ //"	"ṚV, 8, 1, 7"	"Ṛgveda"	3612	"NOUN"	"VERB"	"khaja"	"kṛt"	"obj"	"subord"	"exo"	135694	3440	4704359	4704360	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kīlāla-pe"	"acl"	"Dat"	"ADJ"	"vedhase"	"NOUN"	"kīlālape somapṛṣṭhāya vedhase hṛdā matiṃ janaye cārum agnaye //"	"ṚV, 10, 91, 14"	"Ṛgveda"	4003	"NOUN"	"VERB"	"kīlāla"	"pā"	"obj"	"subord"	"exo"	23661	218969	4332931	4332932	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kilāsa-nāśanam"	"conj"	"Acc"	"ADJ"	"bheṣajam"	"NOUN"	"āsurī cakre prathamedaṃ kilāsabheṣajam idaṃ kilāsanāśanam /"	"AVŚ, 1, 24, 2"	"Atharvaveda (Śaunaka)"	4213	"NOUN"	"VERB"	"kilāsa"	"nāśana"	"nmod"	"subord"	"exo"	23507	33827	4531549	4531550	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kilbiṣa-spṛt"	"root"	"Nom"	"ADJ"			"kilbiṣaspṛd ity eṣa u eva kilbiṣaspṛt //"	"AB, 1, 13, 10"	"Aitareyabrāhmaṇa"	4693	"NOUN"	"VERB"	"kilbiṣa"	"spṛt"	"obl"	"subord"	"exo"	23524	103564	4618471	4618472	"3-PO"	"RV"	"Āśvalāyana"	"B"	"prose"
"kīrti-kāmaḥ"	"root"	"Nom"	"NOUN"			"abodhy agniḥ samidhā janānām iti kīrtikāmaḥ //"	"AĀ, 1, 1, 1, 16"	"Aitareya-Āraṇyaka"	7844	"NOUN"	"VERB"	"kīrti"	"kāma"	"obj"	"subord"	"exo"	23616	13752	5428929	5428930	"4-PL"	"RV"	"Āśvalāyana"	"Ā"	"prose"
"kratu-vid"	"acl"	"Nom"	"ADJ"	"hotā"	"NOUN"	"agniṣ ṭaddhotā kratuvid vijānan yajiṣṭho devāṁ ṛtuśo yajāti //"	"ṚV, 10, 2, 5"	"Ṛgveda"	3781	"NOUN"	"VERB"	"kratu"	"vid"	"obj"	"subord"	"exo"	134074	122659	4294323	4294324	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kratu-vidā"	"root"	"Nom"	"ADJ"			"mene iva tanvā śumbhamāne dampatīva kratuvidā janeṣu //"	"ṚV, 2, 39, 2"	"Ṛgveda"	3286	"NOUN"	"VERB"	"kratu"	"vid"	"obj"	"subord"	"exo"	134074	122659	4415993	4415994	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
"kravya-vāhanaḥ"	"acl"	"Nom"	"ADJ"	"agniḥ"	"NOUN"	"yo agniḥ kravyavāhanaḥ pitṝn yakṣad ṛtāvṛdhaḥ /"	"ṚV, 10, 16, 11"	"Ṛgveda"	3840	"NOUN"	"VERB"	"kravya"	"vāhana"	"obj"	"subord"	"exo"	134109	47137	4301312	4301313	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kṛtyā-dūṣiḥ"	"root"	"Nom"	"ADJ"			"kṛtyādūṣir ayaṃ maṇir atho arātidūṣiḥ /"	"AVŚ, 2, 4, 6"	"Atharvaveda (Śaunaka)"	4234	"NOUN"	"VERB"	"kṛtyā"	"dūṣi"	"obj"	"subord"	"exo"	3740	86096	4503381	4503382	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obj"	"Acc"	"ADJ"	"jahi"	"VERB"	"ava jahi yātudhānān ava kṛtyākṛtaṃ jahi /"	"AVŚ, 5, 14, 2"	"Atharvaveda (Śaunaka)"	4382	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"nmod"	"subord"	"exo"	3740	3440	4547501	4547502	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛte"	"iobj"	"Dat"	"ADJ"	"muñcata"	"VERB"	"kṛtyāṃ kṛtyākṛte devā niṣkam iva prati muñcata //"	"AVŚ, 5, 14, 3"	"Atharvaveda (Śaunaka)"	4383	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547519	4547520	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛte"	"iobj"	"Dat"	"ADJ"	"naya"	"VERB"	"punaḥ kṛtyāṃ kṛtyākṛte hastagṛhya parā ṇaya /"	"AVŚ, 5, 14, 4"	"Atharvaveda (Śaunaka)"	4384	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547528	4547529	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛte"	"iobj"	"Dat"	"ADJ"	"kṛtyāḥ"	"NOUN"	"kṛtyāḥ santu kṛtyākṛte śapathaḥ śapathīyate /"	"AVŚ, 5, 14, 5"	"Atharvaveda (Śaunaka)"	4386	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547542	4547543	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛte"	"iobj"	"Dat"	"ADJ"	"harāmasi"	"VERB"	"punaḥ kṛtyāṃ kṛtyākṛte pratiharaṇena harāmasi //"	"AVŚ, 5, 14, 8"	"Atharvaveda (Śaunaka)"	4390	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547588	4547589	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obj"	"Acc"	"ADJ"	"jahi"	"VERB"	"dipsauṣadhe tvaṃ dipsantam ava kṛtyākṛtaṃ jahi //"	"AVŚ, 5, 14, 1"	"Atharvaveda (Śaunaka)"	4381	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547494	4547495	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obj"	"Acc"	"ADJ"	"hanat"	"VERB"	"samakṣam asmā ā dhehi yathā kṛtyākṛtam hanat //"	"AVŚ, 5, 14, 4"	"Atharvaveda (Śaunaka)"	4385	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547537	4547538	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obj"	"Acc"	"ADJ"	"hanat"	"VERB"	"pratyak pratiprahiṇmo yathā kṛtyākṛtaṃ hanat //"	"AVŚ, 10, 1, 5"	"Atharvaveda (Śaunaka)"	4492	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4756598	4756599	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obl"	"Acc"	"ADJ"	"vartatām"	"VERB"	"sukho ratha iva vartatāṃ kṛtyā kṛtyākṛtaṃ punaḥ //"	"AVŚ, 5, 14, 5"	"Atharvaveda (Śaunaka)"	4387	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547550	4547551	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obl"	"Acc"	"ADJ"	"gaccha"	"VERB"	"bandham ivāvakrāmī gaccha kṛtye kṛtyākṛtaṃ punaḥ //"	"AVŚ, 5, 14, 10"	"Atharvaveda (Śaunaka)"	4392	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547615	4547616	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"obl"	"Acc"	"ADJ"	"vartatām"	"VERB"	"sukho ratha iva vartatāṃ kṛtyā kṛtyākṛtaṃ punaḥ //"	"AVŚ, 5, 14, 13"	"Atharvaveda (Śaunaka)"	4394	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547653	4547654	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtam"	"orphan"	"Acc"	"ADJ"	"kṛtyā"	"NOUN"	"sā taṃ mṛgam iva gṛhṇātu kṛtyā kṛtyākṛtaṃ punaḥ //"	"AVŚ, 5, 14, 12"	"Atharvaveda (Śaunaka)"	4393	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obj"	"subord"	"exo"	3740	3440	4547638	4547639	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṛtyā-kṛtā"	"obl"	"Ins"	"ADJ"	"saṃbhṛtā"	"VERB"	"śīrṣaṇvatī nasvatī karṇiṇī kṛtyākṛtā saṃbhṛtā viśvarūpā /"	"AVŚ, 10, 1, 2"	"Atharvaveda (Śaunaka)"	4486	"NOUN"	"VERB"	"kṛtyā"	"kṛt"	"obl"	"subord"	"exo"	3740	3440	4756550	4756551	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"kṣapā-śayaḥ"	"conj"	"Nom"	"ADJ"	"brahmacārī"	"ADJ"	"kṣapāśayaḥ //"	"KāṭhGS, 5, 7"	"Kāṭhakagṛhyasūtra"	1820	"NOUN"	"VERB"	"kṣapā"	"śaya"	"obl"	"subord"	"exo"	134413	116770	5356540	5356541	"5-SU"	"Black YV"	"Kaṭha"	"GS"	"prose"
"kṣatra-vani"	"conj"	"Acc"	"NOUN"	"vani"	"NOUN"	"brahmavani tvā kṣatravani rāyaspoṣavani paryūhāmi /"	"VSM, 6, 3"	"Vājasaneyisaṃhitā (Mādhyandina)"	6782	"NOUN"	"VERB"	"kṣatra"	"vani"	"obj"	"subord"	"exo"	135368	68725	5021984	5021985	"2-MA"	"White YV"	"Mādhyandina"	"S"	"metrical"
"kṣetra-vidam"	"iobj"	"Acc"	"ADJ"	"aprāṭ"	"VERB"	"akṣetravit kṣetravidaṃ hy aprāṭ sa praiti kṣetravidānuśiṣṭaḥ /"	"ṚV, 10, 32, 7"	"Ṛgveda"	3937	"NOUN"	"VERB"	"kṣetra"	"vid"	"obj"	"subord"	"exo"	135577	122659	4307244	4307245	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kṣetra-vidā"	"obl"	"Ins"	"ADJ"	"anuśiṣṭaḥ"	"VERB"	"akṣetravit kṣetravidaṃ hy aprāṭ sa praiti kṣetravidānuśiṣṭaḥ /"	"ṚV, 10, 32, 7"	"Ṛgveda"	3938	"NOUN"	"VERB"	"kṣetra"	"vid"	"obj"	"subord"	"exo"	135577	122659	4307249	4307250	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"kula-pāḥ"	"root"	"Nom"	"ADJ"			"eṣā te kulapā rājan tām u te pari dadmasi /"	"AVŚ, 1, 14, 3"	"Atharvaveda (Śaunaka)"	4197	"NOUN"	"VERB"	"kula"	"pā"	"obj"	"subord"	"exo"	24793	219421	4527966	4527967	"2-MA"	"AV"	"Śaunaka"	"S"	"metrical"
"loka-jit"	"parataxis"	"Nom"	"ADJ"	"abhijayyāsam"	"VERB"	"lokajid asi lokaṃ jayyāsam /"	"JUB, 3, 20, 10"	"Jaiminīya-Upaniṣad-Brāhmaṇa"	6579	"NOUN"	"VERB"	"loka"	"jit"	"obj"	"subord"	"exo"	66869	88935	5153662	5153663	"4-PL"	"SV"	"Jaiminīya"	"B"	"prose"
"loka-jit"	"root"	"Nom"	"ADJ"			"taddhaitallokajid eva /"	"BĀU, 1, 3, 28"	"Bṛhadāraṇyakopaniṣad"	2823	"NOUN"	"VERB"	"loka"	"jit"	"obj"	"subord"	"exo"	66869	88935	3744661	3744662	"4-PL"	"White YV"	"Mādhyandina"	"U"	"prose"
"loka-kṣidbhyaḥ"	"conj"	"Dat"	"ADJ"	"kṣidbhyaḥ"	"ADJ"	"nama ādityebhyaś ca viśvebhyaś ca devebhyo divikṣidbhyo lokakṣidbhyaḥ /"	"ChU, 2, 24, 13"	"Chāndogyopaniṣad"	1917	"NOUN"	"VERB"	"loka"	"kṣit"	"obl"	"subord"	"exo"	66869	135448	5273864	5273865	"4-PL"	"SV"	"Kauthuma"	"U"	"prose"
"mada-cyutam"	"appos"	"Acc"	"ADJ"	"ūrmim"	"NOUN"	"madacyutam auśānaṃ nabhojām pari tritantuṃ vicarantam utsam //"	"ṚV, 10, 30, 9"	"Ṛgveda"	3921	"NOUN"	"VERB"	"mada"	"cyut"	"nmod"	"subord"	"exo"	27316	216002	4306452	4306453	"2-MA"	"RV"	"Śākala"	"S"	"metrical"
"madhu-pebhiḥ"	"acl"	"Ins"	"ADJ"	"āsabhiḥ"	"NOUN"	"madhvaḥ pibatam madhupebhir āsabhir uta priyam madhune yuñjāthāṃ ratham /"	"ṚV, 4, 45, 3"	"Ṛgveda"	3376	"NOUN"	"VERB"	"madhu"	"pā"	"obj"	"subord"	"exo"	35443	218969	4548293	4548294	"1-RV"	"RV"	"Śākala"	"S"	"metrical"
